user_id,is_fake,login_time,session_duration,ip_address,device
user_1,1,2024-10-20 06:04:08.366982,64.3,213.69.245.157,MacOS
user_1,1,2025-01-11 14:49:43.767666,282.52,,
user_1,1,2025-06-14 12:52:04.784599,260.5,,Android
user_1,1,2025-01-16 17:42:54.930044,246.59,217.255.56.90,MacOS
user_1,1,,180.05,122.242.199.155,Android
user_1,1,2025-05-07 00:09:46.602661,264.62,193.222.4.135,MacOS
user_1,1,2025-05-02 11:26:02.052188,270.62,217.11.50.33,Windows
user_1,1,2025-06-27 09:35:06.768408,288.65,176.136.165.221,Windows
user_1,1,2025-01-19 00:06:22.099211,235.18,161.17.165.96,iOS
user_1,1,2025-04-19 21:36:59.403397,75.28,205.116.11.233,Windows
user_1,1,2025-02-26 17:54:37.355748,218.9,76.184.56.131,iOS
user_1,1,2025-01-21 07:41:42.820624,195.77,146.196.181.28,Windows
user_1,1,2025-06-12 03:41:10.978441,241.91,212.20.71.65,Android
user_1,1,2024-10-21 05:34:01.213808,137.66,217.181.27.174,MacOS
user_1,1,2025-01-12 17:05:18.232704,163.75,175.113.159.140,iOS
user_1,1,2025-05-13 13:15:14.574751,80.38,68.129.51.251,Windows
user_1,1,2024-10-29 17:25:59.067202,285.55,179.168.207.247,Android
user_1,1,2025-07-02 20:07:50.871287,,213.133.159.97,iOS
user_1,1,2025-06-13 19:36:17.657788,223.51,130.65.236.26,Android
user_1,1,2024-10-15 12:20:20.022536,122.6,220.54.217.78,iOS
user_1,1,2025-07-06 22:13:10.158469,169.48,,Windows
user_1,1,2025-02-02 17:06:16.357390,47.92,78.175.167.203,MacOS
user_1,1,2024-10-13 08:41:40.344438,99.55,212.214.77.65,Windows
user_1,1,2024-11-29 17:15:25.791797,89.72,152.0.233.221,iOS
user_1,1,2024-11-04 21:16:55.024336,141.73,147.204.237.73,iOS
user_1,1,2025-04-28 13:28:35.356527,99.2,166.173.17.32,Windows
user_2,1,2025-06-09 12:39:24.663564,244.52,219.29.42.251,Android
user_2,1,2025-06-20 04:06:32.118652,265.5,111.118.139.247,Android
user_2,1,2025-06-03 05:28:28.227684,249.29,,iOS
user_2,1,2025-06-12 19:40:45.754243,73.27,167.123.105.119,Windows
user_2,1,2025-07-09 20:31:29.621008,174.86,187.168.220.180,Android
user_2,1,2025-06-22 03:42:27.482255,173.78,80.103.204.141,MacOS
user_2,1,2025-07-02 14:21:08.105249,136.5,170.189.95.122,Windows
user_2,1,2025-06-04 21:10:29.600831,262.68,108.45.136.252,Android
user_2,1,2025-07-07 11:02:44.008128,151.2,138.53.8.196,MacOS
user_2,1,2025-06-09 17:46:40.997675,99.36,14.193.227.238,Android
user_2,1,2025-07-09 09:00:33.172324,60.52,167.6.241.66,iOS
user_2,1,2025-06-06 13:04:19.914260,165.27,32.10.175.154,
user_2,1,2025-06-03 03:19:37.529968,82.61,121.181.215.178,Android
user_2,1,2025-06-30 05:19:42.037312,67.6,202.31.146.2,Android
user_2,1,2025-07-14 06:10:09.880076,267.42,208.218.192.114,Android
user_2,1,2025-07-13 12:49:48.132716,49.62,29.232.238.40,MacOS
user_2,1,2025-06-22 08:16:03.498465,219.49,53.192.54.76,Android
user_2,1,2025-07-09 20:18:53.975779,153.97,109.58.158.115,Windows
user_2,1,2025-06-29 18:44:45.208012,99.36,173.198.83.163,MacOS
user_2,1,2025-07-14 10:46:03.570067,294.06,219.237.124.210,MacOS
user_2,1,,112.34,199.230.154.222,Android
user_2,1,2025-06-01 18:58:09.181428,121.34,209.209.188.50,MacOS
user_2,1,2025-06-08 02:44:20.569913,144.13,64.110.205.117,MacOS
user_2,1,2025-06-14 13:30:19.100153,39.87,55.97.31.162,Android
user_2,1,2025-06-01 08:34:14.220395,108.69,176.34.191.156,iOS
user_2,1,2025-06-21 09:10:54.771711,288.89,,MacOS
user_2,1,2025-07-07 16:04:38.899017,,13.1.182.124,Android
user_2,1,2025-07-03 17:12:15.444848,253.5,208.108.204.249,Android
user_2,1,,265.64,155.64.176.24,iOS
user_2,1,2025-07-06 15:26:04.819915,298.98,206.224.214.223,Windows
user_2,1,2025-07-03 04:46:24.162114,167.61,202.167.137.18,Windows
user_2,1,2025-06-16 15:05:52.743014,275.52,63.131.146.205,Android
user_2,1,2025-06-17 03:59:18.072302,87.79,60.32.200.131,Android
user_2,1,2025-06-11 06:30:48.270060,63.1,44.207.59.103,MacOS
user_2,1,2025-06-18 14:21:36.595539,260.05,107.203.244.186,Windows
user_2,1,2025-07-02 11:13:43.916515,291.34,222.240.113.118,Android
user_2,1,2025-06-10 18:15:15.650144,51.78,104.200.70.42,MacOS
user_2,1,2025-06-21 20:55:35.162133,243.65,218.85.109.182,iOS
user_2,1,2025-06-21 22:07:44.795020,95.25,22.191.188.42,MacOS
user_2,1,2025-06-06 10:41:20.788316,49.71,200.173.102.103,MacOS
user_2,1,2025-06-09 23:31:48.649173,139.2,131.187.38.140,iOS
user_2,1,2025-06-11 10:34:59.493444,144.54,206.102.43.210,Windows
user_2,1,2025-07-01 06:55:24.648237,,68.3.70.169,Windows
user_2,1,2025-07-14 05:36:16.173188,252.13,202.234.253.68,MacOS
user_2,1,2025-06-17 01:39:37.224592,96.49,153.15.250.231,MacOS
user_2,1,2025-07-11 01:38:44.195815,95.47,129.77.230.167,MacOS
user_2,1,2025-06-20 02:59:43.533450,43.16,21.167.56.151,iOS
user_3,1,2025-07-14 17:03:06.824438,151.18,222.128.175.51,MacOS
user_3,1,2025-07-13 00:33:57.950187,280.75,201.30.100.171,iOS
user_3,1,2025-07-10 08:34:09.632622,210.25,184.8.112.135,iOS
user_3,1,2025-07-11 08:23:24.282793,163.78,211.71.89.16,Android
user_3,1,2025-07-13 08:33:25.088338,160.25,33.55.207.93,MacOS
user_3,1,2025-07-13 23:36:27.148698,79.77,218.87.164.104,Windows
user_3,1,2025-07-13 03:27:56.335605,250.31,217.195.30.150,Android
user_3,1,2025-07-14 07:03:20.475891,274.09,141.226.231.243,iOS
user_3,1,2025-07-11 22:49:03.994318,57.59,177.100.207.103,Android
user_3,1,2025-07-11 07:20:39.616621,189.0,171.32.4.159,MacOS
user_3,1,2025-07-12 03:38:28.312254,184.92,201.253.20.246,Android
user_3,1,2025-07-11 20:33:56.686199,91.65,144.228.139.116,iOS
user_3,1,2025-07-13 14:25:04.945942,44.32,170.57.237.205,Windows
user_3,1,2025-07-14 22:23:38.747235,,196.221.226.14,MacOS
user_3,1,2025-07-13 20:00:42.031462,33.03,180.93.143.24,MacOS
user_3,1,2025-07-11 07:53:20.645129,224.15,151.120.215.216,Android
user_3,1,2025-07-11 00:57:59.128367,240.04,188.212.240.242,Windows
user_3,1,2025-07-10 03:29:21.787364,198.77,30.148.104.90,Android
user_3,1,2025-07-13 14:23:55.775185,259.03,201.41.98.67,Windows
user_3,1,2025-07-13 08:35:36.410101,270.25,36.40.29.78,iOS
user_3,1,2025-07-14 11:34:24.352049,215.09,126.162.236.231,Android
user_3,1,2025-07-11 23:14:20.611915,174.55,139.253.151.239,MacOS
user_3,1,2025-07-10 02:44:16.702019,189.46,214.159.189.129,Android
user_3,1,2025-07-13 17:40:58.330413,265.58,104.10.161.132,MacOS
user_3,1,2025-07-11 02:22:15.366486,152.56,210.229.70.13,
user_3,1,2025-07-13 20:01:39.201679,172.24,206.108.18.218,MacOS
user_3,1,2025-07-12 18:34:03.078449,,159.76.139.237,iOS
user_3,1,2025-07-12 13:43:02.924671,79.39,153.8.135.55,Windows
user_3,1,2025-07-12 00:21:03.248679,228.65,201.17.127.69,iOS
user_3,1,2025-07-12 04:50:28.272417,204.54,133.108.34.103,Android
user_3,1,2025-07-12 02:55:26.683491,,163.237.85.31,Windows
user_3,1,2025-07-10 00:13:59.747817,292.27,70.89.171.35,iOS
user_3,1,2025-07-12 00:26:47.202361,231.04,196.50.120.111,Android
user_3,1,2025-07-12 06:33:49.106970,254.84,96.137.90.147,Windows
user_4,1,2025-03-07 18:53:20.082591,34.24,61.151.1.254,iOS
user_4,1,2025-01-28 17:58:05.906204,283.57,193.34.52.210,Windows
user_4,1,2025-05-24 21:21:31.818907,121.85,119.141.96.40,Windows
user_4,1,2025-03-05 19:10:22.077137,-10196.300127828366,220.193.39.173,Android
user_4,1,2025-05-06 13:11:43.319548,208.05,142.208.56.112,Windows
user_4,1,2025-06-24 09:34:15.688136,138.46,176.57.174.85,iOS
user_4,1,2025-03-29 14:11:58.042257,235.57,149.182.5.37,Windows
user_4,1,2025-07-13 15:37:28.821995,-10196.300127828366,,Android
user_4,1,,169.38,202.67.97.238,iOS
user_4,1,2025-01-16 08:50:56.324744,161.08,201.176.241.148,MacOS
user_4,1,2025-05-22 06:37:44.745187,235.06,192.114.48.255,iOS
user_4,1,2025-03-06 19:56:30.105904,201.88,175.184.235.254,MacOS
user_4,1,2025-06-12 05:36:15.203454,135.81,129.170.80.12,Windows
user_4,1,2025-07-06 16:29:30.890110,225.51,145.1.17.103,Android
user_4,1,2025-01-28 18:08:01.303884,82.35,80.86.190.130,iOS
user_4,1,2025-04-08 21:16:01.372905,282.55,87.179.124.53,Android
user_4,1,2025-02-15 14:01:12.584190,153.59,139.178.113.202,Android
user_4,1,2024-12-27 20:13:56.896250,151.3,104.240.146.249,MacOS
user_4,1,2025-03-29 09:43:30.354434,71.72,198.9.4.188,Android
user_4,1,2025-06-28 22:43:44.325732,265.91,21.124.5.157,iOS
user_4,1,2025-02-06 10:09:14.710549,90.08,154.200.143.191,MacOS
user_4,1,2025-06-23 09:44:25.657570,167.54,173.18.95.63,iOS
user_4,1,2025-04-29 10:30:04.654497,43.46,198.205.165.170,iOS
user_4,1,2025-05-06 08:01:15.228514,207.11,92.182.82.159,
user_4,1,2025-04-15 04:27:54.170614,,216.138.15.211,Android
user_4,1,2025-03-06 09:16:20.940459,124.12,124.82.87.228,iOS
user_4,1,2025-01-02 03:23:36.329733,104.94,201.85.196.39,iOS
user_4,1,2024-12-20 16:09:38.242733,86.99,180.4.9.106,Android
user_4,1,2025-05-05 12:39:39.181981,129.92,190.195.135.223,iOS
user_4,1,2025-01-18 00:06:33.585894,107.38,215.125.44.113,iOS
user_4,1,2025-04-05 21:52:33.766943,211.39,183.143.0.190,iOS
user_4,1,2025-05-07 01:12:00.105703,287.4,31.232.215.20,iOS
user_4,1,2025-01-01 06:03:33.324133,264.14,217.29.47.233,iOS
user_4,1,2025-02-15 03:50:03.190292,258.92,,iOS
user_4,1,2025-05-26 00:16:47.708223,271.7,90.69.171.47,iOS
